longest rush, name, rushes, rushing touchdowns, rushing yards
6,R Cote,3,0,11
4,A Franklin,1,1,4
1,D Tate,2,1,2
0,D Clark,1,0,0
14,A Whitlock,14,0,74
16,J Zabransky,5,0,40
9,K Campbell,1,0,9
4,P Fils,1,0,4
0,R Ray,1,0,0
10,W Cates,14,1,58
9,D Durant,7,0,19
9,W Dressler,1,0,9
3,C Szarka,1,0,3
11,A Cobourne,13,0,57
29,R Santos,4,0,37
9,C Leak,1,0,9
33,J Robertson,6,0,63
14,J Messam,3,0,26
11,P McCallum,1,0,11
11,C Printers,1,0,11
10,Y Davis,2,1,9
5,T Lulay,2,0,7
13,D Durant,6,1,43
5,W Cates,7,2,15
11,F Reid,13,1,43
17,S Jyles,1,0,17
7,B Pierce,6,0,17
1,A Brink,1,0,1
11,D Cobb,10,1,20
6,E Wilbur,1,0,6
4,K Glenn,2,0,5
3,Q Porter,1,0,3
11,C Boyd,11,1,54
11,C Owens,1,0,11
6,A Durie,1,0,6
4,J Johnson,1,0,4
2,C Lemon,2,0,3
9,J Reynolds,18,1,85
19,J Cornish,9,0,76
14,D Tate,4,0,27
0,R Bryant,1,0,0
6,A Whitlock,3,0,3
2,P Fils,5,0,1
1,R Ray,1,0,1
20,B Lester,4,0,31
4,R Ray,2,0,5
5,C McCarty,2,0,4
32,J Reynolds,21,0,145
17,H Burris,3,2,28
8,J Cornish,4,0,17
6,R Bryant,1,0,6
4,D Tate,1,0,4
3,K Rambo,1,0,3
49,D Cobb,4,0,59
7,Q Porter,2,0,12
3,K Glenn,2,0,4
3,M Thigpen,1,0,3
1,E Wilbur,1,0,1
26,A McPherson,16,0,121
12,A Cobourne,14,1,52
13,J Richardson,1,0,13
7,B Bratton,1,0,7
3,K Watkins,1,0,3
10,Y Davis,13,0,52
16,J Messam,8,2,24
9,C Printers,1,0,9
1,T Lulay,1,0,1
27,C Boyd,11,0,57
5,C Lemon,2,0,7
4,J Johnson,2,0,5
61,F Reid,17,2,148
15,S Jyles,5,0,32
8,D Stephenson,3,0,14
3,A Brink,8,1,12
6,W Cates,8,0,18
11,D Durant,2,0,13
29,D Durant,5,0,69
8,W Cates,10,2,35
30,H Charles,1,1,30
2,C Szarka,1,0,2
17,J Cornish,9,0,47
15,J Reynolds,6,1,30
1,D Tate,1,1,1
1,H Burris,2,0,1
13,Y Davis,6,0,39
8,J Messam,7,0,38
4,E Arceneaux,3,0,11
2,T Lulay,1,0,2
0,J Lee,1,0,0
29,D Cobb,23,0,151
4,M McDaniel,1,0,4
2,Q Porter,1,0,2
14,J Johnson,11,0,62
30,B Crawford,2,0,42
15,C Lemon,3,0,31
7,A Alridge,7,0,31
38,F Reid,18,0,100
9,S Jyles,6,0,44
11,C Garrett,1,0,11
0,A Sadeghian,1,0,0
20,A Cobourne,11,1,54
0,A McPherson,1,0,0
18,P Fils,2,0,21
7,C McCarty,9,1,20
6,J Maas,1,1,6
5,K Campbell,1,0,5
0,R Ray,1,0,0
33,F Reid,9,0,63
21,S Jyles,1,0,21
16,A Cobourne,11,0,74
12,A Hawkins,1,0,12
2,A McPherson,2,0,3
52,D Cobb,15,0,166
